# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCats=EBlowR9,EBhighR9,EElowR9,EEhighR9

# photonCat       mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
EEhighR9scale       0.0005     0.0062     0.0000    
EEhighR9smear       0.0002     0.0000     0.0000    

diphotonCat=11
proc=zh
EBlowR9scale        0.0009     0.0483     0.0000    
EBlowR9smear        0.0001     0.0932     0.0000    
EBhighR9scale       0.0010     0.1163     0.0000    
EBhighR9smear       0.0003     0.0438     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0014     0.0975     0.0001    
EEhighR9smear       0.0003     0.0284     0.0002    

diphotonCat=11
proc=tth
EBlowR9scale        0.0009     0.0056     0.0006    
EBlowR9smear        0.0000     0.0444     0.0006    
EBhighR9scale       0.0016     0.0008     0.0002    
EBhighR9smear       0.0000     0.0719     0.0002    
EElowR9scale        0.0001     0.0025     0.0002    
EElowR9smear        0.0000     0.0033     0.0001    
EEhighR9scale       0.0007     0.0096     0.0004    
EEhighR9smear       0.0000     0.0194     0.0001    

diphotonCat=12
proc=ggh
EBlowR9scale        0.0008     0.0494     0.0000    
EBlowR9smear        0.0011     0.0494     0.0000    
EBhighR9scale       0.0021     0.0000     0.0000    
EBhighR9smear       0.0004     0.0000     0.0000    
EElowR9scale        0.0000     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0016     0.1809     0.0000    
EEhighR9smear       0.0006     0.0698     0.0000    

diphotonCat=12
proc=vbf
EBlowR9scale        0.0009     0.0449     0.0000    
EBlowR9smear        0.0004     0.0000     0.0000    
EBhighR9scale       0.0014     0.0892     0.0000    
EBhighR9smear       0.0009     0.0892     0.0000    
EElowR9scale        0.0002     0.0000     0.0000    
EElowR9smear        0.0000     0.0000     0.0000    
EEhighR9scale       0.0005     0.0449     0.0000    
EEhighR9smear       0.0000     0.0000     0.0000    

diphotonCat=12
proc=wh
EBlowR9scale        0.0007     0.0608     0.0000    
EBlowR9smear        0.0007     0.0000     0.0000    
EBhighR9scale       0.0014     0.0608     0.0000    
EBhighR9smear       0.0003     0.0608     0.0000    
EElowR9scale        0.0009     0.0000     0.0000    
EElowR9smear        0.0002     0.0000     0.0000    
EEhighR9scale       0.0004     0.0000     0.0000    
EEhighR9smear       0.0010     0.0687     0.0000    

diphotonCat=12
proc=zh
